iter	Passed	Remaining
0	165	165426
1	170	84834
2	175	58469
3	177	44302
4	179	35759
5	181	30014
6	182	25885
7	183	22795
8	185	20387
9	186	18456
10	188	16907
11	191	15731
12	192	14626
13	194	13673
14	195	12842
15	197	12117
16	199	11527
17	200	10958
18	202	10443
19	204	10035
20	206	9622
21	207	9232
22	209	8879
23	210	8550
24	211	8247
25	212	7970
26	213	7710
27	215	7471
28	216	7248
29	218	7058
30	219	6869
31	221	6686
32	222	6515
33	223	6353
34	224	6200
35	226	6057
36	227	5921
37	228	5792
38	230	5669
39	231	5552
40	234	5480
41	235	5375
42	236	5273
43	238	5177
44	239	5083
45	240	4993
46	242	4908
47	243	4825
48	244	4748
49	246	4676
50	248	4625
51	249	4554
52	251	4486
53	252	4421
54	253	4358
55	254	4298
56	256	4238
57	257	4180
58	258	4125
59	259	4073
60	262	4043
61	264	3994
62	265	3946
63	266	3898
64	267	3852
65	269	3808
66	270	3765
67	271	3722
68	272	3682
69	274	3644
70	275	3606
71	278	3591
72	279	3554
73	281	3517
74	282	3482
75	283	3449
76	284	3415
77	286	3382
78	287	3351
79	288	3320
80	289	3290
81	291	3267
82	293	3237
83	294	3210
84	295	3185
85	297	3159
86	298	3134
87	300	3112
88	301	3090
89	303	3066
90	304	3041
91	307	3031
92	308	3010
93	309	2987
94	311	2964
95	312	2943
96	313	2921
97	315	2900
98	316	2879
99	317	2858
100	318	2837
101	320	2819
102	322	2812
103	324	2793
104	325	2774
105	326	2755
106	328	2738
107	329	2720
108	330	2703
109	331	2685
110	333	2669
111	334	2652
112	336	2642
113	338	2630
114	339	2614
115	340	2598
116	341	2580
117	343	2565
118	344	2552
119	346	2538
120	347	2524
121	348	2507
122	349	2494
123	352	2490
124	353	2476
125	355	2463
126	356	2448
127	357	2435
128	358	2422
129	360	2409
130	361	2396
131	362	2384
132	363	2371
133	365	2359
134	367	2357
135	369	2345
136	370	2334
137	371	2322
138	373	2311
139	374	2299
140	375	2288
141	376	2274
142	377	2263
143	379	2253
144	380	2242
145	383	2240
146	384	2231
147	386	2223
148	387	2213
149	389	2204
150	390	2197
151	392	2187
152	393	2178
153	394	2169
154	397	2167
155	399	2159
156	400	2149
157	401	2140
158	402	2131
159	404	2121
160	405	2111
161	406	2102
162	407	2093
163	408	2084
164	410	2075
165	413	2075
166	414	2066
167	415	2058
168	416	2050
169	418	2042
170	419	2034
171	421	2026
172	422	2018
173	423	2010
174	424	2002
175	427	2000
176	428	1993
177	430	1985
178	431	1978
179	432	1970
180	434	1964
181	435	1956
182	436	1948
183	437	1941
184	439	1934
185	440	1926
186	443	1926
187	444	1919
188	445	1912
189	446	1905
190	448	1898
191	449	1891
192	450	1885
193	452	1878
194	453	1871
195	454	1864
196	456	1859
197	458	1856
198	459	1849
199	460	1843
200	462	1837
201	463	1832
202	464	1825
203	466	1819
204	467	1813
205	468	1807
206	470	1800
207	472	1800
208	474	1795
209	475	1789
210	477	1784
211	478	1779
212	480	1774
213	481	1770
214	483	1764
215	484	1759
216	486	1754
217	488	1751
218	489	1746
219	490	1740
220	492	1734
221	493	1729
222	494	1723
223	496	1718
224	497	1714
225	499	1709
226	500	1704
227	504	1706
228	505	1701
229	506	1696
230	508	1693
231	510	1689
232	511	1683
233	512	1678
234	514	1673
235	516	1671
236	517	1667
237	519	1661
238	520	1656
239	521	1651
240	522	1646
241	524	1641
242	525	1636
243	526	1631
244	527	1626
245	529	1621
246	531	1621
247	532	1616
248	534	1611
249	535	1606
250	536	1602
251	538	1597
252	539	1592
253	540	1587
254	541	1583
255	543	1578
256	544	1573
257	547	1573
258	548	1569
